environment_transformation,inferred_actions,counterfactual_prediction_error_per_action
7,4,"[1.4034988663250754, 1.08549515427875, 1.3830397622655721, 1.4326017170977292, 1.057194049429394]"
5,0,"[1.2605322691387386, 1.528068838272343, 1.400591410154154, 1.2823580770401908, 1.2709004929230603]"
3,4,"[1.291082893127833, 1.5389736312880038, 1.2933102397156355, 1.2722591390935065, 1.034141840419128]"
0,0,"[1.1903761472152465, 1.6645506910159062, 1.4425155177181612, 1.388421520521966, 1.2875055605723487]"
3,4,"[1.38687585789445, 1.5395738312470881, 1.3996082796664941, 1.5386886848659433, 1.1971043638008008]"
8,0,"[1.266414245969778, 1.3322315541614518, 1.3653864901570663, 1.4031681931584163, 1.5151754901089034]"
0,0,"[1.0089202617784603, 1.3904622834901876, 1.0531020762229863, 1.4415870182530024, 1.2046139237988027]"
0,0,"[1.0799484757826998, 1.3130363304360249, 1.2074707726385792, 1.2728912875695586, 1.3397182582731622]"
8,0,"[1.2520949365515595, 1.349803006271936, 1.438140440253054, 1.3808220367425994, 1.4042588924337887]"
8,3,"[1.222387247271789, 1.1809190371765972, 1.130192550232884, 0.9698637549487621, 1.4120003761677018]"
5,2,"[1.1009124547934808, 1.1757175505003494, 1.0024849823187927, 1.3758521359467715, 1.122914879475246]"
4,3,"[1.218089458049778, 1.4468717343425295, 1.288767690432735, 1.0728505663071215, 1.4055819872653965]"
3,4,"[1.143715405238469, 1.1997275129293856, 1.3930835280055471, 1.3930601111337118, 0.9087864820465229]"
3,4,"[1.0919595886078364, 1.0953295995396435, 1.1544404610304693, 1.1658571410005742, 0.8495517024959228]"
8,3,"[0.945488008994553, 0.994755899298099, 0.9191921788346205, 0.8953433559162398, 1.1925632336865943]"
4,3,"[0.68742354378186, 0.8374196563555513, 0.6728053761575272, 0.3966479621667546, 1.057883995044722]"
3,4,"[1.262555938266607, 1.0517700010740965, 1.3111512514645776, 1.6100587267108988, 0.5599203934709256]"
4,3,"[1.0020146853035097, 1.0405497257046945, 0.9908542734080349, 0.7027513135866693, 1.465116902644037]"
2,1,"[1.0352808920681147, 0.884036843465112, 1.0837185358308925, 1.337331849187406, 1.3510352840546862]"
2,1,"[1.1973462351062876, 0.7562211127756835, 1.2241657512677193, 1.261415558392913, 0.9912729921743686]"
3,4,"[1.2072390014348366, 1.2584588581594374, 1.2420973380381615, 1.19245572664741, 0.9284848819314724]"
6,2,"[1.2917537980681815, 1.2520247575916208, 1.1152243381445008, 1.1298176307249397, 1.3983938874203345]"
8,0,"[1.1339716668394126, 1.1411687673650477, 1.236089044295513, 1.190401547684764, 1.4736747385643592]"
6,3,"[1.2081460547785856, 1.2473990121925433, 1.0999108602783745, 0.9039065707604725, 1.414329915433276]"
3,4,"[0.9814346822505118, 1.0026103364331287, 1.2403452884852129, 1.396231128865536, 0.8227288411875782]"
7,1,"[1.1655497814178786, 1.0435883861788393, 1.2901670085178834, 1.3066463571506586, 1.249457061171962]"
0,0,"[0.8061799500834018, 1.0516164181005807, 0.9007078502333588, 0.9381454795899166, 0.972095302159584]"
4,3,"[1.1637336180098419, 1.1663456374772534, 1.1677424825730987, 0.8726758919847533, 1.2913783496827362]"
5,2,"[1.4203866960078892, 1.4744580977751909, 1.0971377808122005, 1.4739090444072265, 1.1726913605328666]"
7,1,"[1.3666464160895861, 0.9631570449081451, 1.448571920907651, 1.2868286128159554, 0.9681743708620396]"
4,3,"[1.2579817783702145, 1.2442486626387734, 1.1884336625982244, 0.8565422681447106, 1.2920440685066665]"
8,3,"[1.3942326041010191, 1.4212511213566992, 1.3298880323761826, 1.1643082094493717, 1.3273967378268412]"
8,1,"[1.1330471131727324, 1.020682409156458, 1.1667193407986056, 1.149244015870436, 1.4617663422383278]"
1,0,"[0.9554831016218309, 1.2538373445990065, 1.062964666553108, 1.1858490876348875, 1.267411341626928]"
4,3,"[1.0071826836336892, 1.0276464466106323, 1.248095536086284, 0.6432404587943321, 1.2991597192166697]"
8,3,"[1.1910172229998932, 1.075126232456281, 1.2385203548598056, 0.9327232380187988, 1.4706165976069852]"
8,3,"[1.0723321354315718, 0.9886272892394673, 1.0871280976341935, 0.8017962074481204, 1.3268120679046127]"
2,1,"[0.9556654315143746, 0.7272765643802748, 0.9886193688035496, 1.1449321441044933, 1.1638527550208715]"
0,0,"[0.5703865129000113, 0.8972507077408807, 0.9356096766264898, 0.8770218317553762, 0.968790857782143]"
7,1,"[1.1341300620174792, 1.0691928352566749, 1.0840554067814836, 1.1662498054091464, 1.0812499396135842]"
6,3,"[0.920720256937302, 0.8576439080208152, 0.9295813759662251, 0.7838680816733465, 1.0965020534661547]"
1,2,"[0.8985912408481442, 0.9042779347582567, 0.759589522607981, 0.9329021179075518, 0.9055214510904424]"
4,3,"[1.093303883826381, 1.1217558411480815, 1.2586205316939802, 0.6658949404457732, 1.4007124578533454]"
6,3,"[1.1221735146255962, 0.9914283626803091, 1.0720696466803517, 0.7269391630801434, 1.2161933542355026]"
3,4,"[1.1114517413645226, 1.1534568047485223, 1.0583682667472132, 1.3102153666497984, 0.7602484330521113]"
4,3,"[1.1830016266885033, 1.1684197380257466, 1.2199894849788446, 0.6655511023281182, 1.5160105455831898]"
0,0,"[0.8028228545892918, 1.109102329869561, 1.0006928309744745, 1.2078279102297034, 1.1283313696102273]"
4,3,"[1.237397972885824, 1.2532510348026922, 1.1935065558729263, 0.7794070835690252, 1.4836815956268048]"
2,1,"[0.9815647898825792, 0.9076885600911757, 1.0368633655474766, 1.0335147446259232, 1.2124746262479276]"
1,2,"[0.9603997032267221, 1.0275005843292977, 0.5954726707031002, 1.2980059289648878, 1.1750722090677765]"
3,4,"[1.1181874839703756, 1.2779793705879625, 1.1927284967969738, 1.223258622446484, 0.8825992327138547]"
