snr,object_side_size,trial,environment_transformation,object_transformation,transformation_inferred,agents_action,mu_env,sigma_env,mu_obj,saliency
0,0,0,2,-1,1,0,,,141.48,
0,0,1,4,-1,0,4,,,141.48,
0,0,2,4,-1,4,3,,,141.48,
0,0,3,3,-1,0,4,,,141.48,
0,0,4,1,-1,1,1,,,141.48,
0,0,5,3,-1,1,0,,,141.48,
0,0,6,0,-1,4,0,,,141.48,
0,0,7,0,-1,3,2,,,141.48,
0,0,8,3,-1,4,1,,,141.48,
0,0,9,4,-1,4,0,,,141.48,
0,0,10,0,-1,0,3,,,141.48,
0,0,11,0,-1,0,2,,,141.48,
0,0,12,2,-1,0,1,,,141.48,
0,0,13,3,-1,0,2,,,141.48,
0,0,14,4,-1,1,3,,,141.48,
0,0,15,1,-1,4,2,,,141.48,
0,0,16,3,-1,4,2,,,141.48,
0,0,17,4,-1,3,2,,,141.48,
0,0,18,4,-1,4,2,,,141.48,
0,0,19,0,-1,4,3,,,141.48,
0,0,20,3,-1,1,4,,,141.48,
0,0,21,4,-1,3,2,,,141.48,
0,0,22,2,-1,4,4,,,141.48,
0,0,23,2,-1,3,3,,,141.48,
0,0,24,2,-1,0,4,,,141.48,
0,0,25,4,-1,0,2,,,141.48,
0,0,26,1,-1,4,0,,,141.48,
0,0,27,0,-1,4,1,,,141.48,
0,0,28,3,-1,3,1,,,141.48,
0,0,29,4,-1,1,3,,,141.48,
0,0,30,0,-1,3,2,,,141.48,
0,0,31,3,-1,0,4,,,141.48,
0,0,32,1,-1,2,0,,,141.48,
0,0,33,4,-1,4,4,,,141.48,
0,0,34,3,-1,2,0,,,141.48,
0,0,35,1,-1,3,3,,,141.48,
0,0,36,3,-1,1,1,,,141.48,
0,0,37,0,-1,1,0,,,141.48,
0,0,38,3,-1,3,2,,,141.48,
0,0,39,1,-1,4,1,,,141.48,
0,0,40,0,-1,3,4,,,141.48,
0,0,41,3,-1,2,3,,,141.48,
0,0,42,2,-1,2,4,,,141.48,
0,0,43,2,-1,3,4,,,141.48,
0,0,44,0,-1,4,1,,,141.48,
0,0,45,1,-1,1,4,,,141.48,
0,0,46,4,-1,1,2,,,141.48,
0,0,47,3,-1,0,3,,,141.48,
0,0,48,0,-1,4,0,,,141.48,
0,0,49,3,-1,1,1,,,141.48,
0,0,50,1,-1,4,4,,,141.48,
0,0,51,3,-1,4,0,,,141.48,
0,0,52,2,-1,1,1,,,141.48,
0,0,53,2,-1,4,2,,,141.48,
0,0,54,4,-1,4,0,,,141.48,
0,0,55,4,-1,3,4,,,141.48,
0,0,56,4,-1,4,1,,,141.48,
0,0,57,4,-1,1,1,,,141.48,
0,0,58,1,-1,2,1,,,141.48,
0,0,59,1,-1,3,2,,,141.48,
0,0,60,0,-1,2,0,,,141.48,
0,0,61,2,-1,4,2,,,141.48,
0,0,62,0,-1,2,2,,,141.48,
0,0,63,2,-1,0,0,,,141.48,
0,0,64,1,-1,4,3,,,141.48,
0,0,65,2,-1,0,1,,,141.48,
0,0,66,4,-1,4,4,,,141.48,
0,0,67,0,-1,0,2,,,141.48,
0,0,68,4,-1,2,0,,,141.48,
0,0,69,3,-1,2,0,,,141.48,
0,0,70,3,-1,0,4,,,141.48,
0,0,71,0,-1,2,2,,,141.48,
0,0,72,3,-1,1,4,,,141.48,
0,0,73,2,-1,3,2,,,141.48,
0,0,74,2,-1,3,1,,,141.48,
0,0,75,3,-1,2,0,,,141.48,
0,0,76,0,-1,4,3,,,141.48,
0,0,77,0,-1,0,2,,,141.48,
0,0,78,2,-1,1,0,,,141.48,
0,0,79,1,-1,3,3,,,141.48,
0,0,80,0,-1,3,4,,,141.48,
0,0,81,2,-1,2,3,,,141.48,
0,0,82,2,-1,0,3,,,141.48,
0,0,83,1,-1,1,4,,,141.48,
0,0,84,0,-1,3,0,,,141.48,
0,0,85,4,-1,3,4,,,141.48,
0,0,86,3,-1,4,3,,,141.48,
0,0,87,2,-1,1,3,,,141.48,
0,0,88,2,-1,1,0,,,141.48,
0,0,89,0,-1,0,2,,,141.48,
0,0,90,1,-1,3,0,,,141.48,
0,0,91,4,-1,0,1,,,141.48,
0,0,92,0,-1,4,4,,,141.48,
0,0,93,2,-1,0,1,,,141.48,
0,0,94,4,-1,3,2,,,141.48,
0,0,95,2,-1,2,3,,,141.48,
0,0,96,3,-1,0,1,,,141.48,
0,0,97,4,-1,4,4,,,141.48,
0,0,98,2,-1,2,0,,,141.48,
0,0,99,4,-1,3,3,,,141.48,
0,1,0,1,4,1,2,,,141.48,
0,1,1,3,2,3,4,,,141.48,
0,1,2,2,4,4,3,,,141.48,
0,1,3,0,0,2,0,,,141.48,
0,1,4,3,3,1,2,,,141.48,
0,1,5,2,4,2,2,,,141.48,
0,1,6,1,3,0,1,,,141.48,
0,1,7,2,3,4,0,,,141.48,
0,1,8,1,1,3,1,,,141.48,
0,1,9,0,3,3,4,,,141.48,
0,1,10,0,4,2,0,,,141.48,
0,1,11,3,4,3,3,,,141.48,
0,1,12,1,3,1,0,,,141.48,
0,1,13,0,4,0,2,,,141.48,
0,1,14,0,3,3,1,,,141.48,
0,1,15,3,2,2,2,,,141.48,
0,1,16,1,3,2,0,,,141.48,
0,1,17,4,0,3,0,,,141.48,
0,1,18,4,1,2,4,,,141.48,
0,1,19,2,0,0,4,,,141.48,
0,1,20,3,3,4,3,,,141.48,
0,1,21,0,1,3,3,,,141.48,
0,1,22,1,0,1,3,,,141.48,
0,1,23,2,4,4,0,,,141.48,
0,1,24,2,0,2,2,,,141.48,
0,1,25,4,4,0,3,,,141.48,
0,1,26,4,4,4,4,,,141.48,
0,1,27,1,3,4,3,,,141.48,
0,1,28,2,2,2,3,,,141.48,
0,1,29,2,0,2,3,,,141.48,
0,1,30,4,2,4,1,,,141.48,
0,1,31,3,4,3,1,,,141.48,
0,1,32,4,2,2,1,,,141.48,
0,1,33,0,4,2,4,,,141.48,
0,1,34,2,0,4,0,,,141.48,
0,1,35,3,2,3,3,,,141.48,
0,1,36,3,2,0,3,,,141.48,
0,1,37,2,4,4,3,,,141.48,
0,1,38,0,0,4,3,,,141.48,
0,1,39,1,4,0,2,,,141.48,
0,1,40,2,3,1,2,,,141.48,
0,1,41,3,2,4,3,,,141.48,
0,1,42,4,0,3,4,,,141.48,
0,1,43,0,0,0,4,,,141.48,
0,1,44,0,2,1,4,,,141.48,
0,1,45,0,2,2,0,,,141.48,
0,1,46,2,4,0,4,,,141.48,
0,1,47,2,3,4,2,,,141.48,
0,1,48,3,4,2,2,,,141.48,
0,1,49,2,1,4,4,,,141.48,
0,1,50,2,4,4,3,,,141.48,
0,1,51,0,3,2,1,,,141.48,
0,1,52,0,3,4,3,,,141.48,
0,1,53,4,0,1,0,,,141.48,
0,1,54,2,1,2,2,,,141.48,
0,1,55,4,3,0,3,,,141.48,
0,1,56,0,4,3,1,,,141.48,
0,1,57,2,3,0,4,,,141.48,
0,1,58,0,3,0,1,,,141.48,
0,1,59,2,1,4,4,,,141.48,
0,1,60,1,1,2,0,,,141.48,
0,1,61,2,4,1,4,,,141.48,
0,1,62,1,1,3,1,,,141.48,
0,1,63,0,1,4,1,,,141.48,
0,1,64,2,2,1,1,,,141.48,
0,1,65,0,3,3,1,,,141.48,
0,1,66,3,0,0,0,,,141.48,
0,1,67,2,3,1,1,,,141.48,
0,1,68,4,1,1,2,,,141.48,
0,1,69,1,2,4,0,,,141.48,
0,1,70,0,3,0,3,,,141.48,
0,1,71,1,3,4,0,,,141.48,
0,1,72,4,0,2,2,,,141.48,
0,1,73,3,2,3,4,,,141.48,
0,1,74,0,0,1,1,,,141.48,
0,1,75,4,4,4,4,,,141.48,
0,1,76,3,3,0,4,,,141.48,
0,1,77,2,2,4,3,,,141.48,
0,1,78,3,2,3,1,,,141.48,
0,1,79,4,0,3,1,,,141.48,
0,1,80,4,2,0,4,,,141.48,
0,1,81,1,2,1,0,,,141.48,
0,1,82,2,2,3,4,,,141.48,
0,1,83,1,4,3,3,,,141.48,
0,1,84,4,2,4,4,,,141.48,
